English,Akuapem Twi
What she lacks in charisma she makes up for with hard work.,Nea onni ho adwempa no de adwumaden na ɛba.
There was nothing I could do about it.,Na biribiara nni hɛ a metumi ayɔ
Kwaku saw John and Abena holding hands.,Kwaku hui se  John ne Abena kurakura wɛn nsa.
Can you stay till 2:30?,So wubetumi atena ha akosi nnɛnmienu npaamu aduasa awiaberɔ.
You haven't got much time.,Wonni mmre
She bought two dozen eggs.,Na ɛtotɛ  nkosua aduonu abien.
I don't have a sword.,Minni nkrante.
Why is that baby crying?,Dɔ n nti na abofra no suɔ
I belong here.,Me na mewɔ ha.
You didn't understand.,Ná wonte ase.
Kwaku sings quite well.,Kwaku to dwom yiye.
He calls her up every night.,Anadwo biara ɛfrɛ no.
Kwaku got out of the hospital.,Kwaku fii ayaresabea hɔ kɔe.
Hang on tight.,So mu denneennen
You can win all the battles yet lose the war.,Wubetumi adi nkonim wɔ ɔko no nyinaa mu nanso wubetumi ahwere ɔko no.
Kwaku tried to break up the fight between Abena and John.,Kwaku bɔɔ mmɔden sɛ obegyae ɔko a ɛkɔɔ so wɔ Abena ne John ntam no.
I'm thinking of getting this translated into French.,M'adwene ne sɛ mɛte eyi ase akɔ Franse kasa mu.
I'll stop.,Na megyae.
Everybody admired his courage.,Obiara ani gyee n'akokoduru no ho.
It's a difficult question.,Na nsɔmmisa no ɔyɔ den.
He's not an idiot.,ɛnyɛ obi a wuye kwasea
Go first to those who you are sure will help you.,Di kan kɔ wɔn a wogye di sɛ wɔbɛboa wo no nkyɛn.
You two are very cute together.,Mo baanu kabom ma no yɛ fɛ
"Sooner or later, we all are going to die.",Ɛrenkyɛ koraa na yɛn nyinaa bɛwu
Please tell me.,Mesrɛ wo ka kyerɛ me.
I know him by sight.,Minim no ɔhwɛ kwan so.
Would you join me for a walk?,So wobɛka me ho ne me anantew?
I spent all day studying French.,Mede meda nyinaa sua Franse kasa.
The crowd gathered around the speaker.,Nnipadɔm no betwaa ɔkasafo no ho hyiae.
"Sorry, I'm a stranger here.","Mesre wo, meyɛ ɔhɔho wɔ ha."
Kwaku has next to nothing in his wallet.,Kwaku nni biribiara wɔ ne bag mu.
Read it again.,San kenkan bio.
You weren't doing anything illegal.,Ná wonyɛɛ biribi a etia mmara.
She is walking.,Wɛ nantew
Are you fond of music?,So w'ani gye nnwom ho?
Stop staring.,Gyae nhwɛ bebree
I'll see to it that you get a raise after the first year.,M'ani bɛba wo ho so no na wɔama wo so afe a edi kan no akyi.
He packed his lunch in a paper bag.,Ɔhyehyɛɛ n'aduan no wɔ baage bi mu.
I called her up.,Mefrɛɛ no bae.
Don't joke about that.,Mfa nni agorɔ
It's always a pleasure to see you.,Ɛyɛ anigye bere nyinaa sɛ wubehu wo.
"Will you read my essay and correct the mistakes, if any?","So wobɛkenkan m'asɛm no asiesie mfomso ahorow no, sɛ ebi wɔ hɔ a?"
I'm Kwaku's boss.,Meyɛ Kwaku adwumam panyin.
Do you remember what I taught you?,So wokae nea mekyerɛkyerɛɛ wo no?
Who are you eating dinner with tonight?,Henanom na wo ne wɔn redidi anwummere yi?
What's a picture like that doing in Kwaku's room?,Mfonini bɛn na ɛte sɛ nea ɛwɔ Kwaku dan mu no?
They're not idiots.,Wɔnyɛ nye nkwaseafo.
You cannot be serious.,Wuntumi nyɛ biribi a anibere wom.
It's their job.,Ɛyɛ wɔn adwuma.
Let's get a picture of us with the sea in the background.,Ma yɛnhwɛ sɛnea ɛpo a ɛwɔ yɛn mpɔtam hɔ no te.
Who approved this?,Hena na ɔpenee eyi so?
He lived and died in obscurity.,Ɔtraa ase a na obiara nte ne ho asɛm.
Did you watch the movie?,So wohwɛɛ sini no?
It looks fun.,Ɛyɛ anigye.
I don't like baseball at all.,M'ani nngye basket bɔɔlo ho koraa
Have you ever cut your finger with a knife?,So wode sekan atwa wo nsa mu pɛn?
The sentence doesn't have any grammatical errors.,Mfomso biara nni atemmu no mu.
Compasses point north.,Nsoromma mu ahwɛfo hwɛ atifi
You do your part and I'll do the rest.,Woyɛ wo fam de na mɛyɛ nea aka no.
What would you recommend we eat?,Dɛn na wobɛka akyerɛ yɛn sɛ yendi?
Nobody knew what to say.,Ná obiara nnim nea ɔbɛka.
There's no one left.,Obiara nni hɔ.
What's your favorite band?,Nnwomkuo bɛn na w'ani gye ho paa?
What about his girlfriend?,Na ne mpena no nso ɛ?
Kwaku wouldn't lie to me.,Ná Kwaku nni atoro mma me.
He doesn't know what to do with his money.,Onim nea ɛsɛ sɛ ɔde ne sika yɛ.
Kwaku needs to get some rest.,Ɛsɛ sɛ Kwaku gye n'ahome kakra.
He always speaks to me when he meets me on the street.,"Bere biara a obehyia me wɔ abɔnten so no, ɔne me kasa."
Do you have anything to say regarding this?,So wowɔ eyi ho asɛm bi ka?
"It seemed so real, but I guess it was just a crazy dream.","Ná ɛte sɛ nea ɛwɔ hɔ ankasa, nanso misusuwii sɛ na ɛyɛ dae bɔne bi kɛkɛ."
It's time for us to talk.,Ɛyɛ bere a ɛsɛ sɛ yɛkasa.
That's your problem.,Ɛno ne wo haw.
We're married.,Yɛwaree.
I can ski.,Mitumi gye m'ani.
He prefers not to talk about it.,Ɔmpɛ sɛ ɔka ho asɛm.
She looks a lot like her mother.,Ɔte sɛ ne maame pɛpɛɛpɛ.
I fell into a hole.,Mehwee  tokuro bi mu.
A square has four sides.,Ɔfã bi wɔ afã anan.
Come over here and give me a kiss.,Bra ha na bɛfew m'ano.
Kwaku recognized me.,Kwaku huu me.
I am not sure whether I will be able to come with you.,Minnim sɛ ebia metumi ne wo akɔ anaa.
Try us again next Monday.,Yɛsan sɔ yɛn hwɛ Dwoda a edi hɔ no bio.
Which of the two ways do you choose?,Akwan abien yi mu nea ɛwɔ he na wopaw?
That's just a waste of taxpayer money.,Ɛno yɛ towtua ho ka kɛkɛ.
Turn on the gas.,Fa w'ani si gaas no so.
I'll see you in my dreams.,Mɛhwɛ wo wɔ me dae mu.
Are they in Paris?,So wɔwɔ Paris?
They decided to put an end to the discussion.,Wosii gyinae sɛ wɔbɛma nkɔmmɔbɔ no aba awiei.
I bought him a magazine.,Metɔɔ nsɛmma nhoma maa no.
The patient got better little by little.,Ɔyarefo no ho tɔɔ no nkakrankakra.
Let's not waste what little time we have.,Mommma yɛnnsɛe bere kakra a yɛwɔ no.
I tried to get good marks.,Mebɔɔ mmɔden sɛ menya akam a ɛfata.
He wanted to be in the newspapers.,Ná ɔpɛ sɛ ɔtra atesɛm nkrataa mu.
Kwaku took the bus to school.,Kwaku de bɔs no kɔɔ sukuu.
All you have to do is do your best.,Nea ɛsɛ sɛ woyɛ ara ne sɛ wobɛyɛ nea wubetumi nyinaa.
What language do they speak in Switzerland?,Kasa bɛn na wɔka wɔ Switzerland?
Kwaku peeked in the window and saw Abena and John kissing.,"Kwaku de n'ani kyerɛɛ mfɛnsere no mu, na ohuu Abena ne John a wɔafew wɔn ano."
"As soon as I can figure out how to send money, I'll send you some.","Sɛ mihu sɛnea mede sika mena pɛ a, mede bi mena wo."
I like her very much.,M'ani gye ne ho paa.
There are a lot of bridges in this city.,Twene pii na ɛwɔ kurow yi mu.
I must've been drugged.,Ɛbɛyɛ sɛ na menom nnubɔne.
I thought it would be best if you told Kwaku yourself.,Ná misusuw sɛ ɛbɛyɛ papa sɛ w'ankasa woka kyerɛɛ Kwaku.
Why can't he play tennis today?,Dɛn nti na ontumi mmɔ sanku nnɛ?
The early bird gets the worm.,Nnomaa a wodi kan no nya mmoawa no bi.
I don't even know where Kwaku is now.,Minnim baabi a Kwaku wɔ seesei mpo.
We need the money.,Yehia sika no.
Almost three thousand people died.,Nnipa bɛyɛ mpensa wuwui.
Both of my parents aren't alive.,M'awofo baanu nyinaa nte nkwa mu.
Why doesn't Kwaku talk?,Dɛn nti na ɛnyɛ Kwaku kasa?
"Kwaku can remember the chords to the song, but can't remember all the lyrics.","Kwaku betumi akae nnwom no mu nsɛm no, nanso ɔnkae emu nsɛm no nyinaa."
They speak Spanish in Colombia.,Wɔka Spania kasa wɔ Colombia.
We'll notify Kwaku.,Yɛrenni kan nka Kwaku ho asɛm.
We all knew about it.,Ná yɛn nyinaa nim ho asɛm.
The prime minister fell into the Danube and drowned.,Ɔman soafo panyin no kɔhwee ɔman no mu ma nsu yiri faa hɔ.
Kwaku was sad and lonely.,"Ná Kwaku werɛ ahow, na na wayɛ ankonam."
I want you to talk to Kwaku.,Mepɛ sɛ wo ne Kwaku kasa.
Kwaku decided to stay until 2:30.,Kwaku sii gyinae sɛ ɔbɛtra hɔ akosi 2:30.
The surviving refugees longed for freedom.,Aguanfo a wonyaa wɔn ti didii mu no hwehwɛɛ ahofadi.
We're leaving now.,Yɛrefi hɔ seesei.
It's raining today. Where is my umbrella?,Me kyinii wɔ he nnɛ? Na nɛ betɛ enɔ
I don't have time to be sick.,Minni bere a mede bɛsa.
The only place Kwaku has ever wanted to live is Boston.,Beae koro pɛ a Kwaku atumi atra ne Boston.
Her son's death broke Abena's heart.,Ne babarima no wu no maa Abena koma tui.
He has had a long teaching career.,Ɔde bere tenten akyerɛkyerɛ nkurɔfo.
The bus has just left.,Ná bɔs no afi hɔ nkyɛe.
Don't leave me.,Nnyaw me hɔ.
"Hang on, Kwaku.","Twɔn, kwaku."
Kwaku is here in Boston with me.,Kwaku ne me wɔ Boston ha.
I'm your sister.,Meyɛ wo nuabea.
Everyone had come except you.,Obiara bae gye sɛ mo nko.
The soldier sacrificed himself to save his friend's life.,Ɔsraani no de ne ho bɔɔ afɔre de gyee n'adamfo no nkwa.
Where do I pay for the gas?,Ɛhe na migye mframa bɔne no?
He loves going to the theater.,N'ani gye ho sɛ ɔbɛkɔ agodibea hɔ.
I'm not tired at all.,M'abam mmu koraa.
The theory is too abstract for me.,Adwene a ɛte saa no yɛ nnaadaa dodo ma me.
"I was nervous at first, but gradually got more relaxed.","Mfiase no ehu kaa me, nanso nkakrankakra me ho tɔɔ me."
I'd rather not eat right now.,M'ani rennye ho saa bere yi.
Fever indicates sickness.,Yare a ɛma nnipa fã dwudwo kyerɛ yare.
People do stupid things when they're angry.,"Sɛ nkurɔfo bo fuw a, wɔyɛ nneɛma a nyansa nnim."
Kwaku is really upset.,Ɛhaw Kwaku yiye.
I like him not because he is kind but because he is honest.,"Ɛnyɛ sɛ ne yam ye nti na m'ani gye ne ho, na mmom ɔyɛ nokwaredifo ntia."
"The instant he opened the door, he smelt something burning.","Bere a obuee pon no ntɛm ara no, ɔhyew biribi a na ɛredɛw."
She didn't send me any letter.,Wamfa krataa biara amma me.
Kwaku can't move as quickly as Abena can.,Kwaku ntumi ntu ntɛm sɛnea Abena betumi ayɛ no.
I know one thing we could do that might be fun.,Minim sɛ ade biako a yebetumi ayɛ ne anigye.
Science is too hard.,Nyansahu yɛ den dodo.
Kwaku didn't mean any harm.,Kwaku anyɛ bɔne biara.
I didn't hang up on you.,Mamfa me ho anto wo so.
Kwaku waved.,Kwaku dii akɔneaba.
That isn't Kwaku's bicycle.,Ɛno nyɛ Kwaku sakre.
I don't know what kind of person he is.,Minnim nipa ko a ɔyɛ.
I just want a straight answer. Nothing more.,"Mepɛ mmuae tẽẽ, nanso biribiara nni hɔ bio."
Kwaku ripped you off.,"Kwaku de, ofii hɔ kɔe."
Kwaku should be back by 2:30.,Ɛsɛ sɛ wɔde 2:30 san kɔ Kwaku.
Do you have a crush on Abena?,So ade atɔ wo so wɔ Abena?
He said he didn't like this.,Ɔkae sɛ ɔmpɛ eyi.
Why did I not know this?,Dɛn nti na na minnim eyi?
I wish to go to Paris to study art.,Mepɛ sɛ mekɔ Paris kosua adwinni.
Did you get it?,So wunya fii mu?
