id,english,twi,source
1,What she lacks in charisma she makes up for with hard work.,,verified_data
2,There was nothing I could do about it.,,verified_data
3,Kwaku saw John and Abena holding hands.,,verified_data
4,Can you stay till 2:30?,,verified_data
5,You haven't got much time.,,verified_data
6,She bought two dozen eggs.,,verified_data
7,I don't have a sword.,,verified_data
8,Why is that baby crying?,,verified_data
9,I belong here.,,verified_data
10,You didn't understand.,,verified_data
11,Kwaku sings quite well.,,verified_data
12,He calls her up every night.,,verified_data
13,Kwaku got out of the hospital.,,verified_data
14,Hang on tight.,,verified_data
15,You can win all the battles yet lose the war.,,verified_data
16,Kwaku tried to break up the fight between Abena and John.,,verified_data
17,I'm thinking of getting this translated into French.,,verified_data
18,Everybody admired his courage.,,verified_data
19,It's a difficult question.,,verified_data
20,He's not an idiot.,,verified_data
21,Go first to those who you are sure will help you.,,verified_data
22,You two are very cute together.,,verified_data
23,"Sooner or later, we all are going to die.",,verified_data
24,Please tell me.,,verified_data
25,I know him by sight.,,verified_data
26,Would you join me for a walk?,,verified_data
27,I spent all day studying French.,,verified_data
28,The crowd gathered around the speaker.,,verified_data
29,"Sorry, I'm a stranger here.",,verified_data
30,Kwaku has next to nothing in his wallet.,,verified_data
31,Read it again.,,verified_data
32,You weren't doing anything illegal.,,verified_data
33,She is walking.,,verified_data
34,Are you fond of music?,,verified_data
35,I'll see to it that you get a raise after the first year.,,verified_data
36,He packed his lunch in a paper bag.,,verified_data
37,I called her up.,,verified_data
38,Don't joke about that.,,verified_data
39,It's always a pleasure to see you.,,verified_data
40,"Will you read my essay and correct the mistakes, if any?",,verified_data
41,I'm Kwaku's boss.,,verified_data
42,Do you remember what I taught you?,,verified_data
43,Who are you eating dinner with tonight?,,verified_data
44,What's a picture like that doing in Kwaku's room?,,verified_data
45,They're not idiots.,,verified_data
46,You cannot be serious.,,verified_data
47,It's their job.,,verified_data
48,Let's get a picture of us with the sea in the background.,,verified_data
49,Who approved this?,,verified_data
50,He lived and died in obscurity.,,verified_data
51,Did you watch the movie?,,verified_data
52,It looks fun.,,verified_data
53,I don't like baseball at all.,,verified_data
54,Have you ever cut your finger with a knife?,,verified_data
55,The sentence doesn't have any grammatical errors.,,verified_data
56,Compasses point north.,,verified_data
57,You do your part and I'll do the rest.,,verified_data
58,What would you recommend we eat?,,verified_data
59,Nobody knew what to say.,,verified_data
60,There's no one left.,,verified_data
61,What's your favorite band?,,verified_data
